professor,department,Quality,Difficulty,aspect,sentiment
Colin Wright ,Economics department,1.0,5.0,practical_sessions,negative
Colin Wright ,Economics department,1.0,5.0,subject_difficulty,negative
Colin Wright ,Economics department,3.0,3.0,subject_difficulty,positive
Colin Wright ,Economics department,1.5,5.0,doubt_solving,negative
Colin Wright ,Economics department,1.5,5.0,study_material,negative
Colin Wright ,Economics department,1.5,5.0,practical_sessions,negative
Colin Wright ,Economics department,1.5,5.0,faculty_availability,negative
Colin Wright ,Economics department,1.5,5.0,subject_difficulty,negative
Colin Wright ,Economics department,4.5,2.0,practical_sessions,positive
Colin Wright ,Economics department,4.5,2.0,subject_difficulty,positive
Colin Wright ,Economics department,1.0,5.0,study_material,negative
Colin Wright ,Economics department,1.0,5.0,subject_difficulty,negative
Colin Wright ,Economics department,1.5,5.0,study_material,negative
Colin Wright ,Economics department,1.5,5.0,practical_sessions,negative
Colin Wright ,Economics department,1.5,5.0,subject_difficulty,negative
Colin Wright ,Economics department,4.0,4.0,practical_sessions,positive
Colin Wright ,Economics department,4.0,4.0,subject_difficulty,positive
Colin Wright ,Economics department,2.0,4.0,study_material,positive
Colin Wright ,Economics department,2.0,4.0,practical_sessions,positive
Colin Wright ,Economics department,2.5,4.0,study_material,positive
Colin Wright ,Economics department,2.5,4.0,practical_sessions,positive
Colin Wright ,Economics department,4.0,4.0,practical_sessions,positive
Colin Wright ,Economics department,4.0,4.0,subject_difficulty,positive
Colin Wright ,Economics department,1.0,5.0,explanation_clarity,negative
Colin Wright ,Economics department,1.0,5.0,study_material,negative
Colin Wright ,Economics department,1.0,5.0,practical_sessions,negative
Colin Wright ,Economics department,1.0,5.0,subject_difficulty,negative
Colin Wright ,Economics department,1.0,5.0,doubt_solving,positive
Colin Wright ,Economics department,1.5,5.0,explanation_clarity,neutral
Colin Wright ,Economics department,1.5,5.0,study_material,neutral
Colin Wright ,Economics department,1.5,5.0,practical_sessions,neutral
Colin Wright ,Economics department,1.0,4.0,explanation_clarity,negative
Colin Wright ,Economics department,1.0,4.0,practical_sessions,negative
Colin Wright ,Economics department,2.5,3.0,explanation_clarity,negative
Colin Wright ,Economics department,2.0,4.0,explanation_clarity,negative
Colin Wright ,Economics department,2.0,4.0,doubt_solving,negative
Colin Wright ,Economics department,4.0,3.0,explanation_clarity,positive
Colin Wright ,Economics department,4.0,3.0,subject_difficulty,positive
Colin Wright ,Economics department,4.0,4.0,subject_difficulty,positive
Ann Meyer ,Literature department,4.5,4.0,study_material,positive
Ann Meyer ,Literature department,5.0,5.0,doubt_solving,positive
Ann Meyer ,Literature department,5.0,5.0,subject_difficulty,positive
Ann Meyer ,Literature department,1.5,4.0,subject_difficulty,negative
Ann Meyer ,Literature department,2.5,4.0,doubt_solving,positive
Ann Meyer ,Literature department,2.5,4.0,faculty_availability,positive
Ann Meyer ,Literature department,4.0,4.0,study_material,positive
Ann Meyer ,Literature department,1.5,2.0,doubt_solving,positive
Ann Meyer ,Literature department,1.5,3.0,explanation_clarity,positive
Ann Meyer ,Literature department,4.5,3.0,explanation_clarity,negative
Ann Meyer ,Literature department,1.0,3.0,explanation_clarity,positive
Jay Martin ,Government department,1.0,4.0,subject_difficulty,negative
Jay Martin ,Government department,5.0,1.0,subject_difficulty,positive
Jay Martin ,Government department,3.0,4.0,explanation_clarity,positive
Jay Martin ,Government department,3.0,4.0,study_material,positive
Jay Martin ,Government department,3.0,4.0,practical_sessions,positive
Jay Martin ,Government department,3.0,4.0,subject_difficulty,positive
Jay Martin ,Government department,4.5,3.0,practical_sessions,positive
Jay Martin ,Government department,4.5,3.0,subject_difficulty,positive
Jay Martin ,Government department,4.0,3.0,explanation_clarity,positive
Jay Martin ,Government department,4.0,3.0,study_material,positive
Jay Martin ,Government department,4.0,3.0,practical_sessions,positive
Jay Martin ,Government department,4.0,3.0,explanation_clarity,neutral
Jay Martin ,Government department,4.0,3.0,doubt_solving,neutral
Jay Martin ,Government department,4.0,3.0,study_material,neutral
Jay Martin ,Government department,3.0,3.0,study_material,positive
Jay Martin ,Government department,3.0,3.0,practical_sessions,positive
Jay Martin ,Government department,3.0,3.0,subject_difficulty,positive
Jay Martin ,Government department,3.5,1.0,explanation_clarity,positive
Jay Martin ,Government department,3.5,1.0,study_material,positive
Jay Martin ,Government department,3.5,1.0,subject_difficulty,positive
Jay Martin ,Government department,5.0,2.0,practical_sessions,positive
Jay Martin ,Government department,4.0,1.0,practical_sessions,positive
Jay Martin ,Government department,4.0,1.0,subject_difficulty,positive
Jay Martin ,Government department,3.0,1.0,practical_sessions,positive
Jay Martin ,Government department,3.0,1.0,subject_difficulty,positive
Jay Martin ,Government department,4.5,2.0,teaching_pace,positive
Jay Martin ,Government department,4.0,2.0,doubt_solving,positive
Jay Martin ,Government department,4.0,2.0,practical_sessions,positive
Jay Martin ,Government department,4.0,2.0,faculty_availability,positive
Jay Martin ,Government department,4.5,2.0,explanation_clarity,positive
Jay Martin ,Government department,4.5,2.0,doubt_solving,positive
Jay Martin ,Government department,4.5,2.0,study_material,positive
Jay Martin ,Government department,4.5,2.0,practical_sessions,positive
Jay Martin ,Government department,4.5,2.0,faculty_availability,positive
Jay Martin ,Government department,4.5,2.0,subject_difficulty,positive
Jay Martin ,Government department,3.0,3.0,subject_difficulty,positive
Jay Martin ,Government department,5.0,2.0,doubt_solving,positive
Jay Martin ,Government department,5.0,2.0,study_material,positive
Jay Martin ,Government department,5.0,2.0,faculty_availability,positive
Thomas Dershem ,Physics department,5.0,3.0,teaching_pace,positive
Thomas Dershem ,Physics department,5.0,3.0,study_material,positive
Thomas Dershem ,Physics department,5.0,3.0,practical_sessions,positive
Thomas Dershem ,Physics department,5.0,3.0,subject_difficulty,positive
Thomas Dershem ,Physics department,2.0,4.0,explanation_clarity,neutral
Thomas Dershem ,Physics department,2.0,4.0,doubt_solving,neutral
Thomas Dershem ,Physics department,2.0,4.0,practical_sessions,neutral
Thomas Dershem ,Physics department,2.0,4.0,subject_difficulty,neutral
Thomas Dershem ,Physics department,5.0,2.0,doubt_solving,positive
Thomas Dershem ,Physics department,5.0,2.0,practical_sessions,positive
Thomas Dershem ,Physics department,3.5,1.0,doubt_solving,positive
Thomas Dershem ,Physics department,3.5,1.0,practical_sessions,positive
Thomas Dershem ,Physics department,2.0,1.0,explanation_clarity,positive
Thomas Dershem ,Physics department,2.0,1.0,doubt_solving,positive
Thomas Dershem ,Physics department,2.0,1.0,practical_sessions,positive
Thomas Dershem ,Physics department,2.0,1.0,subject_difficulty,positive
Thomas Dershem ,Physics department,4.0,2.0,explanation_clarity,positive
Thomas Dershem ,Physics department,4.0,2.0,study_material,positive
Thomas Dershem ,Physics department,4.0,2.0,practical_sessions,positive
Thomas Dershem ,Physics department,4.0,2.0,subject_difficulty,positive
Thomas Dershem ,Physics department,1.0,5.0,practical_sessions,negative
Thomas Dershem ,Physics department,4.5,4.0,doubt_solving,positive
Thomas Dershem ,Physics department,4.5,4.0,practical_sessions,positive
Thomas Dershem ,Physics department,4.5,4.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,5.0,2.0,study_material,positive
Stephen Davis ,Philosophy department,5.0,2.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,4.5,3.0,explanation_clarity,positive
Stephen Davis ,Philosophy department,4.5,3.0,doubt_solving,positive
Stephen Davis ,Philosophy department,4.5,3.0,practical_sessions,positive
Stephen Davis ,Philosophy department,4.5,3.0,faculty_availability,positive
Stephen Davis ,Philosophy department,4.5,3.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,4.5,2.0,explanation_clarity,positive
Stephen Davis ,Philosophy department,4.5,2.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,4.5,4.0,explanation_clarity,negative
Stephen Davis ,Philosophy department,4.5,4.0,practical_sessions,negative
Stephen Davis ,Philosophy department,4.5,4.0,subject_difficulty,negative
Stephen Davis ,Philosophy department,5.0,3.0,explanation_clarity,positive
Stephen Davis ,Philosophy department,5.0,3.0,study_material,positive
Stephen Davis ,Philosophy department,5.0,3.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,5.0,3.0,explanation_clarity,positive
Stephen Davis ,Philosophy department,5.0,3.0,doubt_solving,positive
Stephen Davis ,Philosophy department,5.0,3.0,study_material,positive
Stephen Davis ,Philosophy department,5.0,3.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,4.5,2.0,explanation_clarity,positive
Stephen Davis ,Philosophy department,4.5,2.0,study_material,positive
Stephen Davis ,Philosophy department,3.0,5.0,explanation_clarity,negative
Stephen Davis ,Philosophy department,3.0,5.0,doubt_solving,negative
Stephen Davis ,Philosophy department,3.0,5.0,study_material,negative
Stephen Davis ,Philosophy department,3.0,5.0,subject_difficulty,negative
Stephen Davis ,Philosophy department,4.0,4.0,study_material,positive
Stephen Davis ,Philosophy department,4.0,4.0,practical_sessions,positive
Stephen Davis ,Philosophy department,4.0,4.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,5.0,4.0,subject_difficulty,positive
Stephen Davis ,Philosophy department,1.5,5.0,study_material,negative
Stephen Davis ,Philosophy department,5.0,1.0,teaching_pace,positive
Stephen Davis ,Philosophy department,4.0,5.0,explanation_clarity,negative
Stephen Davis ,Philosophy department,4.0,5.0,subject_difficulty,negative
Stephen Davis ,Philosophy department,3.5,3.0,explanation_clarity,negative
Stephen Davis ,Philosophy department,4.0,4.0,faculty_availability,positive
Stephen Davis ,Philosophy department,4.5,2.0,explanation_clarity,positive
Shana Levin ,Psychology department,4.5,3.0,explanation_clarity,positive
Shana Levin ,Psychology department,4.5,3.0,practical_sessions,positive
Shana Levin ,Psychology department,4.5,3.0,subject_difficulty,positive
Shana Levin ,Psychology department,5.0,3.0,explanation_clarity,positive
Shana Levin ,Psychology department,5.0,3.0,study_material,positive
Shana Levin ,Psychology department,5.0,4.0,doubt_solving,positive
Shana Levin ,Psychology department,5.0,4.0,subject_difficulty,positive
Shana Levin ,Psychology department,5.0,2.0,explanation_clarity,positive
Shana Levin ,Psychology department,5.0,2.0,faculty_availability,positive
Shana Levin ,Psychology department,5.0,4.0,explanation_clarity,neutral
Shana Levin ,Psychology department,5.0,4.0,doubt_solving,neutral
Shana Levin ,Psychology department,5.0,4.0,study_material,neutral
Shana Levin ,Psychology department,5.0,4.0,practical_sessions,neutral
Shana Levin ,Psychology department,5.0,4.0,faculty_availability,neutral
Shana Levin ,Psychology department,5.0,4.0,subject_difficulty,neutral
Shana Levin ,Psychology department,5.0,4.0,explanation_clarity,positive
Shana Levin ,Psychology department,5.0,4.0,doubt_solving,positive
Shana Levin ,Psychology department,5.0,4.0,subject_difficulty,positive
Shana Levin ,Psychology department,2.5,4.0,explanation_clarity,negative
Shana Levin ,Psychology department,2.5,4.0,doubt_solving,negative
Shana Levin ,Psychology department,3.0,5.0,practical_sessions,neutral
Shana Levin ,Psychology department,3.0,5.0,subject_difficulty,neutral
Mario Martelli ,Mathematics department,1.0,4.0,subject_difficulty,neutral
Mario Martelli ,Mathematics department,1.0,4.0,subject_difficulty,neutral
Mario Martelli ,Mathematics department,1.5,5.0,explanation_clarity,negative
Mario Martelli ,Mathematics department,1.5,5.0,teaching_pace,negative
Mario Martelli ,Mathematics department,1.5,5.0,doubt_solving,negative
Mario Martelli ,Mathematics department,5.0,4.0,explanation_clarity,positive
Mario Martelli ,Mathematics department,5.0,4.0,doubt_solving,positive
Mario Martelli ,Mathematics department,5.0,4.0,study_material,positive
Mario Martelli ,Mathematics department,5.0,4.0,faculty_availability,positive
Mario Martelli ,Mathematics department,5.0,4.0,subject_difficulty,positive
Mario Martelli ,Mathematics department,5.0,3.0,doubt_solving,negative
Mario Martelli ,Mathematics department,2.5,3.0,explanation_clarity,negative
Mario Martelli ,Mathematics department,2.5,3.0,practical_sessions,negative
Mario Martelli ,Mathematics department,2.5,3.0,subject_difficulty,negative
Mario Martelli ,Mathematics department,3.5,5.0,explanation_clarity,negative
Mario Martelli ,Mathematics department,3.5,5.0,subject_difficulty,negative
Mario Martelli ,Mathematics department,4.5,4.0,explanation_clarity,positive
Mario Martelli ,Mathematics department,4.5,4.0,doubt_solving,positive
Mario Martelli ,Mathematics department,4.5,4.0,faculty_availability,positive
Mario Martelli ,Mathematics department,4.5,4.0,doubt_solving,negative
Mario Martelli ,Mathematics department,4.5,4.0,practical_sessions,negative
Mario Martelli ,Mathematics department,4.5,3.0,doubt_solving,positive
Mario Martelli ,Mathematics department,4.5,3.0,practical_sessions,positive
Mario Martelli ,Mathematics department,4.5,3.0,faculty_availability,positive
Mario Martelli ,Mathematics department,4.5,3.0,subject_difficulty,positive
Mario Martelli ,Mathematics department,4.5,4.0,subject_difficulty,positive
Mario Martelli ,Mathematics department,5.0,3.0,subject_difficulty,positive
Mario Martelli ,Mathematics department,4.0,4.0,doubt_solving,neutral
Mario Martelli ,Mathematics department,4.0,4.0,subject_difficulty,neutral
Mario Martelli ,Mathematics department,1.5,5.0,explanation_clarity,negative
Mario Martelli ,Mathematics department,1.5,5.0,subject_difficulty,negative
Mario Martelli ,Mathematics department,4.5,5.0,doubt_solving,negative
Mario Martelli ,Mathematics department,4.5,5.0,subject_difficulty,negative
Mario Martelli ,Mathematics department,3.5,5.0,explanation_clarity,positive
Mario Martelli ,Mathematics department,2.0,5.0,explanation_clarity,negative
Mario Martelli ,Mathematics department,2.0,5.0,practical_sessions,negative
Mario Martelli ,Mathematics department,2.0,5.0,subject_difficulty,negative
Mario Martelli ,Mathematics department,3.0,4.0,study_material,positive
Mario Martelli ,Mathematics department,3.0,4.0,practical_sessions,positive
Mario Martelli ,Mathematics department,3.5,3.0,explanation_clarity,negative
Marjorie Charlop-Christy ,Psychology department,5.0,2.0,practical_sessions,negative
Marjorie Charlop-Christy ,Psychology department,5.0,2.0,subject_difficulty,negative
Marjorie Charlop-Christy ,Psychology department,5.0,2.0,practical_sessions,positive
Marjorie Charlop-Christy ,Psychology department,5.0,2.0,subject_difficulty,positive
Marjorie Charlop-Christy ,Psychology department,4.0,1.0,subject_difficulty,positive
Marjorie Charlop-Christy ,Psychology department,3.5,2.0,explanation_clarity,negative
Marjorie Charlop-Christy ,Psychology department,3.5,2.0,practical_sessions,negative
Marjorie Charlop-Christy ,Psychology department,3.5,2.0,practical_sessions,positive
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,explanation_clarity,negative
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,practical_sessions,negative
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,subject_difficulty,negative
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,study_material,negative
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,practical_sessions,negative
Marjorie Charlop-Christy ,Psychology department,1.5,2.0,subject_difficulty,negative
Marjorie Charlop-Christy ,Psychology department,2.0,1.0,study_material,negative
Marjorie Charlop-Christy ,Psychology department,2.0,1.0,faculty_availability,negative
Marjorie Charlop-Christy ,Psychology department,2.0,1.0,subject_difficulty,negative
Marjorie Charlop-Christy ,Psychology department,3.0,2.0,doubt_solving,positive
Marjorie Charlop-Christy ,Psychology department,3.0,2.0,faculty_availability,positive
Marjorie Charlop-Christy ,Psychology department,3.0,2.0,subject_difficulty,positive
Marjorie Charlop-Christy ,Psychology department,2.0,1.0,explanation_clarity,positive
Marjorie Charlop-Christy ,Psychology department,2.0,1.0,subject_difficulty,positive
Marjorie Charlop-Christy ,Psychology department,4.0,1.0,practical_sessions,negative
Marjorie Charlop-Christy ,Psychology department,4.0,1.0,subject_difficulty,negative
Charles Lofgren ,Political Science department,5.0,3.0,explanation_clarity,positive
Charles Lofgren ,Political Science department,5.0,3.0,study_material,positive
Charles Lofgren ,Political Science department,4.5,4.0,doubt_solving,positive
Charles Lofgren ,Political Science department,4.5,4.0,study_material,positive
Charles Lofgren ,Political Science department,4.5,4.0,faculty_availability,positive
Charles Lofgren ,Political Science department,4.5,4.0,subject_difficulty,positive
Charles Lofgren ,Political Science department,3.0,4.0,practical_sessions,negative
Charles Lofgren ,Political Science department,3.0,4.0,subject_difficulty,negative
Charles Lofgren ,Political Science department,2.5,5.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,2.5,5.0,doubt_solving,negative
Charles Lofgren ,Political Science department,2.5,5.0,subject_difficulty,negative
Charles Lofgren ,Political Science department,4.5,4.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,4.5,4.0,doubt_solving,negative
Charles Lofgren ,Political Science department,4.5,4.0,study_material,negative
Charles Lofgren ,Political Science department,1.5,5.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,1.5,5.0,doubt_solving,negative
Charles Lofgren ,Political Science department,1.5,5.0,study_material,negative
Charles Lofgren ,Political Science department,1.5,5.0,subject_difficulty,negative
Charles Lofgren ,Political Science department,2.0,4.0,study_material,positive
Charles Lofgren ,Political Science department,1.5,5.0,study_material,negative
Charles Lofgren ,Political Science department,4.0,5.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,4.0,5.0,study_material,negative
Charles Lofgren ,Political Science department,4.0,5.0,practical_sessions,negative
Charles Lofgren ,Political Science department,4.0,2.0,doubt_solving,positive
Charles Lofgren ,Political Science department,3.5,4.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,3.5,4.0,teaching_pace,negative
Charles Lofgren ,Political Science department,3.5,4.0,doubt_solving,negative
Charles Lofgren ,Political Science department,3.5,4.0,study_material,negative
Charles Lofgren ,Political Science department,3.5,4.0,subject_difficulty,negative
Charles Lofgren ,Political Science department,2.5,5.0,subject_difficulty,positive
Charles Lofgren ,Political Science department,5.0,5.0,doubt_solving,positive
Charles Lofgren ,Political Science department,5.0,5.0,subject_difficulty,positive
Charles Lofgren ,Political Science department,4.0,4.0,doubt_solving,negative
Charles Lofgren ,Political Science department,4.0,4.0,study_material,negative
Charles Lofgren ,Political Science department,1.5,4.0,explanation_clarity,negative
Charles Lofgren ,Political Science department,1.5,4.0,faculty_availability,negative
Kersey Black ,Chemistry department,5.0,4.0,study_material,positive
Kersey Black ,Chemistry department,5.0,4.0,practical_sessions,positive
Kersey Black ,Chemistry department,5.0,4.0,subject_difficulty,positive
Kersey Black ,Chemistry department,1.0,5.0,explanation_clarity,negative
Kersey Black ,Chemistry department,1.0,5.0,study_material,negative
Kersey Black ,Chemistry department,1.0,5.0,practical_sessions,negative
Kersey Black ,Chemistry department,1.0,5.0,explanation_clarity,negative
Kersey Black ,Chemistry department,1.0,5.0,doubt_solving,negative
Kersey Black ,Chemistry department,1.0,5.0,faculty_availability,negative
Kersey Black ,Chemistry department,2.5,5.0,doubt_solving,negative
Kersey Black ,Chemistry department,5.0,4.0,practical_sessions,negative
Kersey Black ,Chemistry department,5.0,4.0,subject_difficulty,negative
Kersey Black ,Chemistry department,4.0,3.0,practical_sessions,positive
Kersey Black ,Chemistry department,4.0,3.0,subject_difficulty,positive
Kersey Black ,Chemistry department,2.0,4.0,doubt_solving,negative
Kersey Black ,Chemistry department,2.0,4.0,faculty_availability,negative
Kersey Black ,Chemistry department,3.5,2.0,explanation_clarity,positive
Kersey Black ,Chemistry department,3.5,2.0,study_material,positive
Kersey Black ,Chemistry department,3.5,2.0,practical_sessions,positive
Kersey Black ,Chemistry department,4.5,2.0,explanation_clarity,neutral
Kersey Black ,Chemistry department,4.5,2.0,practical_sessions,neutral
Kersey Black ,Chemistry department,2.5,4.0,doubt_solving,negative
Kersey Black ,Chemistry department,3.0,4.0,explanation_clarity,negative
Heather Antecol ,Economics department,5.0,3.0,doubt_solving,positive
Heather Antecol ,Economics department,2.0,3.0,explanation_clarity,negative
Heather Antecol ,Economics department,1.0,3.0,explanation_clarity,negative
Heather Antecol ,Economics department,1.0,3.0,study_material,negative
Heather Antecol ,Economics department,1.0,3.0,practical_sessions,negative
Heather Antecol ,Economics department,4.5,3.0,practical_sessions,positive
Heather Antecol ,Economics department,3.5,3.0,study_material,positive
Heather Antecol ,Economics department,3.5,3.0,practical_sessions,positive
Heather Antecol ,Economics department,2.5,3.0,explanation_clarity,negative
Heather Antecol ,Economics department,2.5,3.0,teaching_pace,negative
Heather Antecol ,Economics department,2.0,3.0,explanation_clarity,negative
Heather Antecol ,Economics department,2.0,3.0,teaching_pace,negative
Heather Antecol ,Economics department,2.5,1.0,explanation_clarity,negative
Heather Antecol ,Economics department,2.5,1.0,subject_difficulty,negative
Heather Antecol ,Economics department,4.5,2.0,doubt_solving,positive
Heather Antecol ,Economics department,4.5,2.0,study_material,positive
Edward Haley ,Government department,1.0,5.0,explanation_clarity,negative
Edward Haley ,Government department,1.5,5.0,study_material,negative
Edward Haley ,Government department,1.5,5.0,faculty_availability,negative
Edward Haley ,Government department,1.5,5.0,subject_difficulty,negative
Edward Haley ,Government department,4.0,5.0,explanation_clarity,positive
Edward Haley ,Government department,4.0,5.0,doubt_solving,positive
Edward Haley ,Government department,4.0,5.0,study_material,positive
Edward Haley ,Government department,4.0,5.0,faculty_availability,positive
Edward Haley ,Government department,3.5,4.0,doubt_solving,positive
Edward Haley ,Government department,3.5,4.0,faculty_availability,positive
Edward Haley ,Government department,3.0,5.0,study_material,positive
Edward Haley ,Government department,3.0,5.0,subject_difficulty,positive
Edward Haley ,Government department,4.5,5.0,explanation_clarity,positive
Edward Haley ,Government department,4.5,5.0,doubt_solving,positive
Edward Haley ,Government department,2.5,5.0,doubt_solving,negative
Edward Haley ,Government department,2.5,5.0,study_material,negative
Edward Haley ,Government department,2.5,5.0,subject_difficulty,negative
Edward Haley ,Government department,1.5,5.0,explanation_clarity,negative
Edward Haley ,Government department,1.5,5.0,doubt_solving,negative
Edward Haley ,Government department,1.5,5.0,faculty_availability,negative
Edward Haley ,Government department,4.0,4.0,doubt_solving,positive
Edward Haley ,Government department,4.0,4.0,study_material,positive
Edward Haley ,Government department,4.0,4.0,faculty_availability,positive
Edward Haley ,Government department,2.0,4.0,explanation_clarity,negative
Edward Haley ,Government department,2.0,4.0,doubt_solving,negative
Edward Haley ,Government department,3.0,3.0,study_material,positive
Edward Haley ,Government department,4.0,4.0,subject_difficulty,positive
Edward Haley ,Government department,3.5,3.0,explanation_clarity,negative
Edward Haley ,Government department,3.5,3.0,doubt_solving,negative
Edward Haley ,Government department,2.5,3.0,explanation_clarity,negative
Edward Haley ,Government department,2.5,3.0,study_material,negative
Edward Haley ,Government department,2.5,3.0,practical_sessions,negative
Edward Haley ,Government department,5.0,4.0,subject_difficulty,positive
Edward Haley ,Government department,5.0,5.0,subject_difficulty,positive
Edward Haley ,Government department,3.5,4.0,explanation_clarity,negative
Edward Haley ,Government department,3.5,4.0,study_material,negative
Edward Haley ,Government department,3.5,4.0,subject_difficulty,negative
Edward Haley ,Government department,5.0,4.0,subject_difficulty,positive
Edward Haley ,Government department,1.5,5.0,study_material,positive
Gerald Bradley ,Mathematics department,1.0,3.0,explanation_clarity,negative
Gerald Bradley ,Mathematics department,1.0,3.0,doubt_solving,negative
Gerald Bradley ,Mathematics department,1.0,3.0,subject_difficulty,negative
Gerald Bradley ,Mathematics department,1.0,5.0,explanation_clarity,negative
Gerald Bradley ,Mathematics department,1.0,5.0,doubt_solving,negative
Gerald Bradley ,Mathematics department,1.0,5.0,practical_sessions,negative
Gerald Bradley ,Mathematics department,1.0,5.0,faculty_availability,negative
Gerald Bradley ,Mathematics department,3.0,2.0,doubt_solving,positive
Gerald Bradley ,Mathematics department,3.0,2.0,practical_sessions,positive
Gerald Bradley ,Mathematics department,3.0,2.0,subject_difficulty,positive
Gerald Bradley ,Mathematics department,1.5,4.0,explanation_clarity,positive
Gerald Bradley ,Mathematics department,1.5,4.0,teaching_pace,positive
Gerald Bradley ,Mathematics department,1.5,4.0,doubt_solving,positive
Gerald Bradley ,Mathematics department,1.5,4.0,practical_sessions,positive
Gerald Bradley ,Mathematics department,1.5,4.0,subject_difficulty,positive
Gerald Bradley ,Mathematics department,3.5,4.0,explanation_clarity,neutral
Gerald Bradley ,Mathematics department,3.5,4.0,study_material,neutral
