comment_id,original_comment,aspect,rule_based_sentiment,correct_sentiment,aspect_correct
6,Really straightforward material that is easy to grasp if you have any mathematical ability.  You don't have to read the text to get a decent grade just go to class and take good notes.  Homework assignments are helpful and exams are challenging only at some parts and for the most part straightforward. Hightly reccommended,practical_sessions,positive,positive,yes
6,Really straightforward material that is easy to grasp if you have any mathematical ability.  You don't have to read the text to get a decent grade just go to class and take good notes.  Homework assignments are helpful and exams are challenging only at some parts and for the most part straightforward. Hightly reccommended,subject_difficulty,positive,positive,yes
7,"Best professor I've had at JSD. She makes ochem a very bearable subject and not as scary as people make it sound. Definitely my favorite class of the semester. Her exams were fair, minus the final which was very, very tough! Has problem solving sessions and a trillion office hours. She is the nicest/cutest lady ever.",doubt_solving,positive,positive,yes
7,"Best professor I've had at JSD. She makes ochem a very bearable subject and not as scary as people make it sound. Definitely my favorite class of the semester. Her exams were fair, minus the final which was very, very tough! Has problem solving sessions and a trillion office hours. She is the nicest/cutest lady ever.",practical_sessions,positive,positive,yes
7,"Best professor I've had at JSD. She makes ochem a very bearable subject and not as scary as people make it sound. Definitely my favorite class of the semester. Her exams were fair, minus the final which was very, very tough! Has problem solving sessions and a trillion office hours. She is the nicest/cutest lady ever.",faculty_availability,positive,positive,yes
7,"Best professor I've had at JSD. She makes ochem a very bearable subject and not as scary as people make it sound. Definitely my favorite class of the semester. Her exams were fair, minus the final which was very, very tough! Has problem solving sessions and a trillion office hours. She is the nicest/cutest lady ever.",subject_difficulty,positive,positive,yes
8,"Exams are tough and count for 75% of your grade, but Prof. Feitosa gives a lot of outside resources (TAs, QCL mentor, recorded lectures, extra assignments) that can be very helpful. She really wants you to succeed, but the exams count for way too much and are often graded pretty harshly.",practical_sessions,positive,positive,yes
8,"Exams are tough and count for 75% of your grade, but Prof. Feitosa gives a lot of outside resources (TAs, QCL mentor, recorded lectures, extra assignments) that can be very helpful. She really wants you to succeed, but the exams count for way too much and are often graded pretty harshly.",subject_difficulty,negative,negative,yes
8,"Exams are tough and count for 75% of your grade, but Prof. Feitosa gives a lot of outside resources (TAs, QCL mentor, recorded lectures, extra assignments) that can be very helpful. She really wants you to succeed, but the exams count for way too much and are often graded pretty harshly.",explanation_clarity,positive,positive,yes
8,"Exams are tough and count for 75% of your grade, but Prof. Feitosa gives a lot of outside resources (TAs, QCL mentor, recorded lectures, extra assignments) that can be very helpful. She really wants you to succeed, but the exams count for way too much and are often graded pretty harshly.",doubt_solving,positive,positive,yes
8,"Exams are tough and count for 75% of your grade, but Prof. Feitosa gives a lot of outside resources (TAs, QCL mentor, recorded lectures, extra assignments) that can be very helpful. She really wants you to succeed, but the exams count for way too much and are often graded pretty harshly.",study_material,positive,positive,yes
9,"He is not as bad as everyone makes him out to be! Yes, he yelled at the class a few times, BUT I'm not going to lie, our class can be very disrespectful and rude. You do have to read from the textbook quite a bit, but he breaks up the sections so it is very manageable. He is also helpful in office hours. You get what you put in from this class.",study_material,negative,negative,yes
9,"He is not as bad as everyone makes him out to be! Yes, he yelled at the class a few times, BUT I'm not going to lie, our class can be very disrespectful and rude. You do have to read from the textbook quite a bit, but he breaks up the sections so it is very manageable. He is also helpful in office hours. You get what you put in from this class.",doubt_solving,positive,neutral,yes
9,"He is not as bad as everyone makes him out to be! Yes, he yelled at the class a few times, BUT I'm not going to lie, our class can be very disrespectful and rude. You do have to read from the textbook quite a bit, but he breaks up the sections so it is very manageable. He is also helpful in office hours. You get what you put in from this class.",faculty_availability,positive,neutral,yes
9,"He is not as bad as everyone makes him out to be! Yes, he yelled at the class a few times, BUT I'm not going to lie, our class can be very disrespectful and rude. You do have to read from the textbook quite a bit, but he breaks up the sections so it is very manageable. He is also helpful in office hours. You get what you put in from this class.",subject_difficulty,positive,neutral,yes
10,"Neuroscience 1. She is the most approachable, friendly, funny, up-beat lady (which is awesome for a Neuroscience class). Always willing to meet with students in her office and offers great 1 on 1 help. Makes lab fun! Highly recommended!",doubt_solving,positive,positive,yes
10,"Neuroscience 1. She is the most approachable, friendly, funny, up-beat lady (which is awesome for a Neuroscience class). Always willing to meet with students in her office and offers great 1 on 1 help. Makes lab fun! Highly recommended!",practical_sessions,positive,positive,yes
10,"Neuroscience 1. She is the most approachable, friendly, funny, up-beat lady (which is awesome for a Neuroscience class). Always willing to meet with students in her office and offers great 1 on 1 help. Makes lab fun! Highly recommended!",faculty_availability,positive,positive,yes
11,"All she wants to talk about are her research articles. That is NOT intro to psych dude! I needed intro to psych since I am a psych major and I learnt nothing in her class. She does not even give extra credit. Tough grader, tough tests. Run dude, run!",practical_sessions,positive,negative,yes
11,"All she wants to talk about are her research articles. That is NOT intro to psych dude! I needed intro to psych since I am a psych major and I learnt nothing in her class. She does not even give extra credit. Tough grader, tough tests. Run dude, run!",subject_difficulty,positive,negative,yes
12,"Leland is extremely insightful. He does not dumb down his insights. Those who have only been casually exposed to literature & literary analysis in high school will naturally find him challenging. If you are deeply fascinated by literature, take his class. His commentaries are substantial and his perspective eye-opening.",subject_difficulty,positive,positive,yes
13,"Good lecturer, very organized and knowledgeable about his subjects. I recommend him.",explanation_clarity,positive,positive,yes
14,"Prof. Espinosa is very knowledgable and sophisticated. He assignes more readings and papers than average, but he also gives very detailed feedbacks. He corrects all the papers very thoroughly and I feel like I come out of this class a better writer. He is a tough grader, rarely gives out A or A-, mostly B+.",study_material,positive,positive,yes
14,"Prof. Espinosa is very knowledgable and sophisticated. He assignes more readings and papers than average, but he also gives very detailed feedbacks. He corrects all the papers very thoroughly and I feel like I come out of this class a better writer. He is a tough grader, rarely gives out A or A-, mostly B+.",doubt_solving,positive,positive,yes
14,"Prof. Espinosa is very knowledgable and sophisticated. He assignes more readings and papers than average, but he also gives very detailed feedbacks. He corrects all the papers very thoroughly and I feel like I come out of this class a better writer. He is a tough grader, rarely gives out A or A-, mostly B+.",subject_difficulty,positive,positive,yes
15,I have taken several classes with Prof. Bjornlie and I really love his teaching style. A good combination of lecture and discussion. You must come prepared to class and put thought into your papers. Not all of his classes have tests.,explanation_clarity,positive,positive,yes
15,I have taken several classes with Prof. Bjornlie and I really love his teaching style. A good combination of lecture and discussion. You must come prepared to class and put thought into your papers. Not all of his classes have tests.,practical_sessions,positive,positive,yes
16,Professor Antill was a great FHS teacher. Class was Faith and Reason and he really knew how to analyze religious arguments. Class was very thought provoking and interesting. No textbook only online readings too! Only criticism is he grades papers pretty tough and they are 90% of your grade and his grading scale isn't totally clear.,explanation_clarity,positive,positive,yes
16,Professor Antill was a great FHS teacher. Class was Faith and Reason and he really knew how to analyze religious arguments. Class was very thought provoking and interesting. No textbook only online readings too! Only criticism is he grades papers pretty tough and they are 90% of your grade and his grading scale isn't totally clear.,study_material,positive,positive,yes
16,Professor Antill was a great FHS teacher. Class was Faith and Reason and he really knew how to analyze religious arguments. Class was very thought provoking and interesting. No textbook only online readings too! Only criticism is he grades papers pretty tough and they are 90% of your grade and his grading scale isn't totally clear.,subject_difficulty,positive,positive,yes
17,"I'd like to note that Giulio remains the best professor I've ever had. Not only is Giulio personable and incredibly supportive, he is brilliant!. His notes and suggestions on papers are the most thorough I've ever seen. I wish he was still here because his classes were inspirational and the highlight of my educational experience.",study_material,positive,positive,yes
18,"Any IR major should definitely go meet with Haley. He's a great advisor and will really take care of you if you get to know him. He's getting senile, so he rambles a lot in class, but if you go to office hours a bunch you can do fine in the class.",faculty_availability,positive,positive,yes
18,"Any IR major should definitely go meet with Haley. He's a great advisor and will really take care of you if you get to know him. He's getting senile, so he rambles a lot in class, but if you go to office hours a bunch you can do fine in the class.",doubt_solving,positive,positive,yes
19,"apparently much improved from last time, but has trouble understanding questions. teaches advanced topics that are not on the test (he just thinks they're important to know). do the reading if you haven't taken stats before, otherwise skim. workload is reasonable.",doubt_solving,neutral,neutral,yes
19,"apparently much improved from last time, but has trouble understanding questions. teaches advanced topics that are not on the test (he just thinks they're important to know). do the reading if you haven't taken stats before, otherwise skim. workload is reasonable.",study_material,neutral,neutral,yes
19,"apparently much improved from last time, but has trouble understanding questions. teaches advanced topics that are not on the test (he just thinks they're important to know). do the reading if you haven't taken stats before, otherwise skim. workload is reasonable.",practical_sessions,neutral,neutral,yes
19,"apparently much improved from last time, but has trouble understanding questions. teaches advanced topics that are not on the test (he just thinks they're important to know). do the reading if you haven't taken stats before, otherwise skim. workload is reasonable.",subject_difficulty,neutral,neutral,yes
20,"I am not interested in American Gov per se, but I liked gov 20. The strunk and white approach is too fundamentalist for me, but go to the writing ctr and you will be ok. does excellent imitations-his lectures were almost theatrical. Fair grader, and tries and largely succeeds to be fair politically even though he is definitely conservative.",explanation_clarity,positive,positive,yes
21,"You'll have to read a lot, but all the readings are chosen exceptionally well and, mostly, give you a fair representation of different sides' arguments. Prof Muravchik is very kind, caring, and accomodating. You can easily get an A without any background knowledge about American Politics if you read carefully and ask for help if necessary.",doubt_solving,positive,positive,yes
21,"You'll have to read a lot, but all the readings are chosen exceptionally well and, mostly, give you a fair representation of different sides' arguments. Prof Muravchik is very kind, caring, and accomodating. You can easily get an A without any background knowledge about American Politics if you read carefully and ask for help if necessary.",study_material,positive,positive,yes
22,Great prof.  Really helpful.  Good class discussions.,doubt_solving,positive,positive,yes
23,"I love professor Aitel! She does her best to keep the class interested during discussions and is always asking questions so everyone can participate. Though she assigns a good amount of homework, I found it all to be very interesting.",doubt_solving,positive,positive,yes
23,"I love professor Aitel! She does her best to keep the class interested during discussions and is always asking questions so everyone can participate. Though she assigns a good amount of homework, I found it all to be very interesting.",practical_sessions,positive,positive,yes
24,"AGAIN: Don't take her if you don't have to. Course is a waste of time and you will come out of class with no understanding of the material. Poorly organized structure, poor communication, and little grasp of the class dynamic. Two thumbs down.",study_material,negative,negative,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",explanation_clarity,positive,neutral,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",teaching_pace,positive,neutral,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",doubt_solving,positive,neutral,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",practical_sessions,positive,neutral,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",subject_difficulty,positive,neutral,yes
25,"He's a smart guy but tests are insanely hard. Goes pretty fast during lectures making it hard to keep up. Sometimes makes you feel a little out of place when asking a question, but overall very helpful if you ask in recitation/office hours. Problem sets are a nightmare.",faculty_availability,positive,neutral,yes
26,"Professor Riggio was helpful outside of class though you don't need much help for this class (just read the textbook). His comments in class were often different from the textbook that he wrote, which was confusing. Not an amazing lecturer but does not ask for participation so it's all good. People just end up doing their own thing in class.",explanation_clarity,neutral,neutral,yes
26,"Professor Riggio was helpful outside of class though you don't need much help for this class (just read the textbook). His comments in class were often different from the textbook that he wrote, which was confusing. Not an amazing lecturer but does not ask for participation so it's all good. People just end up doing their own thing in class.",doubt_solving,neutral,neutral,yes
26,"Professor Riggio was helpful outside of class though you don't need much help for this class (just read the textbook). His comments in class were often different from the textbook that he wrote, which was confusing. Not an amazing lecturer but does not ask for participation so it's all good. People just end up doing their own thing in class.",study_material,neutral,neutral,yes
27,This class is a combination of stress and relaxation. The midterm and final were demanding (studying required) but we only had one short paper on top of the tests for the entire semester. Class readings are not too hard but you have to be ready for cold calls in class.,subject_difficulty,positive,positive,yes
27,This class is a combination of stress and relaxation. The midterm and final were demanding (studying required) but we only had one short paper on top of the tests for the entire semester. Class readings are not too hard but you have to be ready for cold calls in class.,study_material,positive,positive,yes
27,This class is a combination of stress and relaxation. The midterm and final were demanding (studying required) but we only had one short paper on top of the tests for the entire semester. Class readings are not too hard but you have to be ready for cold calls in class.,practical_sessions,positive,positive,yes
28,Take his class. You won't regret it. He honestly wants you to do well and if you don't understand go to his office hours and he will make it simple to understand. He is by far one of the best prof. at keck.,doubt_solving,positive,positive,yes
28,Take his class. You won't regret it. He honestly wants you to do well and if you don't understand go to his office hours and he will make it simple to understand. He is by far one of the best prof. at keck.,faculty_availability,positive,positive,yes
28,Take his class. You won't regret it. He honestly wants you to do well and if you don't understand go to his office hours and he will make it simple to understand. He is by far one of the best prof. at keck.,subject_difficulty,positive,positive,yes
29,"He's by far the best Professor at CMC. I have never met a person who has not been fascinated by him, and his classes are incredibly interesting. Easily my favorite class I've taken. Cannot stress enough how amazing this dude and class are. ",faculty_availability,positive,positive,yes
29,"He's by far the best Professor at CMC. I have never met a person who has not been fascinated by him, and his classes are incredibly interesting. Easily my favorite class I've taken. Cannot stress enough how amazing this dude and class are. ",subject_difficulty,positive,positive,yes
30,"His religion and modernity class is very interesting. He is very knowledgeable and dedicated. There is quite a lot of essays and readings but he helps you through it, and he always does one on one consultation before any essays are due. Overall, I recomend.",study_material,positive,positive,yes
30,"His religion and modernity class is very interesting. He is very knowledgeable and dedicated. There is quite a lot of essays and readings but he helps you through it, and he always does one on one consultation before any essays are due. Overall, I recomend.",doubt_solving,positive,positive,yes
31,"Despite other arguments, Haskell is not a good teacher. He doesn't answer questions but instead defers them to the students without giving any answer. He is completely unhelpful and often doesn't reply to e-mail. He spends class time making condecscending jokes and dropping the names of all the 'important' people he knows. Don't put yourself in hel",doubt_solving,negative,negative,yes
32,"Says she wants people to like chem or at least feel confident in it- did not achieve either with me. Went to her office hours a lot but she was scattered and very unhelpful. Poor job of explaining difficult concepts and often forgot to teach things in class that were then on homework, used in lab or on tests. Good intentions but failed execution.",doubt_solving,positive,negative,yes
32,"Says she wants people to like chem or at least feel confident in it- did not achieve either with me. Went to her office hours a lot but she was scattered and very unhelpful. Poor job of explaining difficult concepts and often forgot to teach things in class that were then on homework, used in lab or on tests. Good intentions but failed execution.",faculty_availability,positive,negative,yes
32,"Says she wants people to like chem or at least feel confident in it- did not achieve either with me. Went to her office hours a lot but she was scattered and very unhelpful. Poor job of explaining difficult concepts and often forgot to teach things in class that were then on homework, used in lab or on tests. Good intentions but failed execution.",explanation_clarity,negative,negative,yes
32,"Says she wants people to like chem or at least feel confident in it- did not achieve either with me. Went to her office hours a lot but she was scattered and very unhelpful. Poor job of explaining difficult concepts and often forgot to teach things in class that were then on homework, used in lab or on tests. Good intentions but failed execution.",practical_sessions,negative,negative,yes
32,"Says she wants people to like chem or at least feel confident in it- did not achieve either with me. Went to her office hours a lot but she was scattered and very unhelpful. Poor job of explaining difficult concepts and often forgot to teach things in class that were then on homework, used in lab or on tests. Good intentions but failed execution.",subject_difficulty,negative,negative,yes
33,"Kind, genuine professor who gives plenty of opportunities for extra credit. Readings are contemporary and applicable to modern day society, which is especially handy considering ""moral and political issues."" Only drawback is he assigns reading responses for every class due in the middle of the day, the day before class- so it's fairly inconvenient",study_material,positive,neutral,yes
34,"Best professor I have taken in College.  The only bad ratings he has is from people who do bad in his class, as long as you work hard and go to class you will do good.",subject_difficulty,negative,positive,yes
35,"Professor Pitney is amazing. If you have any interest in politics, you must take a class with him. His lectures are engaging, and he leaves ample time for student questions. His essay topics are clear and sometimes personalized, which shows how much he cares about his students. I learned so much in his GOV020H course. Work hard and you'll do well.",explanation_clarity,positive,positive,yes
35,"Professor Pitney is amazing. If you have any interest in politics, you must take a class with him. His lectures are engaging, and he leaves ample time for student questions. His essay topics are clear and sometimes personalized, which shows how much he cares about his students. I learned so much in his GOV020H course. Work hard and you'll do well.",doubt_solving,positive,positive,yes
35,"Professor Pitney is amazing. If you have any interest in politics, you must take a class with him. His lectures are engaging, and he leaves ample time for student questions. His essay topics are clear and sometimes personalized, which shows how much he cares about his students. I learned so much in his GOV020H course. Work hard and you'll do well.",subject_difficulty,positive,positive,yes
36,"Very interested in his students learning.  Practices lectures to himself in his office! (haha)  Not good at keeping you updated on your score.  TOUGH EXAMS.  Sweet guy, very thick accent.  His lectures are very difficult to understant, but he provides thorough powerpoints.",explanation_clarity,positive,neutral,yes
36,"Very interested in his students learning.  Practices lectures to himself in his office! (haha)  Not good at keeping you updated on your score.  TOUGH EXAMS.  Sweet guy, very thick accent.  His lectures are very difficult to understant, but he provides thorough powerpoints.",practical_sessions,positive,neutral,yes
36,"Very interested in his students learning.  Practices lectures to himself in his office! (haha)  Not good at keeping you updated on your score.  TOUGH EXAMS.  Sweet guy, very thick accent.  His lectures are very difficult to understant, but he provides thorough powerpoints.",subject_difficulty,positive,neutral,yes
36,"Very interested in his students learning.  Practices lectures to himself in his office! (haha)  Not good at keeping you updated on your score.  TOUGH EXAMS.  Sweet guy, very thick accent.  His lectures are very difficult to understant, but he provides thorough powerpoints.",study_material,neutral,neutral,yes
37,"Prof Ferree is very nice, but that doesn't mean he's a good prof. His lectures are very disorganized and his grading style is that he doesn't give feedback. He also doesn't believe in practice tests because he wants to be able to change up his style of assessment. He is unpredictable and can put students to sleep with his monotone voice.",explanation_clarity,positive,negative,yes
37,"Prof Ferree is very nice, but that doesn't mean he's a good prof. His lectures are very disorganized and his grading style is that he doesn't give feedback. He also doesn't believe in practice tests because he wants to be able to change up his style of assessment. He is unpredictable and can put students to sleep with his monotone voice.",doubt_solving,positive,negative,yes
37,"Prof Ferree is very nice, but that doesn't mean he's a good prof. His lectures are very disorganized and his grading style is that he doesn't give feedback. He also doesn't believe in practice tests because he wants to be able to change up his style of assessment. He is unpredictable and can put students to sleep with his monotone voice.",practical_sessions,positive,negative,yes
38,"He is a great teacher, and one of the best for an intro class. Tests are super easy as he gives questions to you beforehand. Super helpful in office hours, and always willing to help. Must take his class",doubt_solving,positive,positive,yes
38,"He is a great teacher, and one of the best for an intro class. Tests are super easy as he gives questions to you beforehand. Super helpful in office hours, and always willing to help. Must take his class",practical_sessions,positive,positive,yes
38,"He is a great teacher, and one of the best for an intro class. Tests are super easy as he gives questions to you beforehand. Super helpful in office hours, and always willing to help. Must take his class",faculty_availability,positive,positive,yes
38,"He is a great teacher, and one of the best for an intro class. Tests are super easy as he gives questions to you beforehand. Super helpful in office hours, and always willing to help. Must take his class",subject_difficulty,positive,positive,yes
39,"I completely agree with another comment--she is super friendly and passionate, but she does not explain things well at all.  The best example of this is a lecture that we were told to read chapter 11 for.  It touched on topics in four different chapters, three of which the reading outline never mentioned.",explanation_clarity,positive,neutral,yes
39,"I completely agree with another comment--she is super friendly and passionate, but she does not explain things well at all.  The best example of this is a lecture that we were told to read chapter 11 for.  It touched on topics in four different chapters, three of which the reading outline never mentioned.",study_material,positive,neutral,yes
39,"I completely agree with another comment--she is super friendly and passionate, but she does not explain things well at all.  The best example of this is a lecture that we were told to read chapter 11 for.  It touched on topics in four different chapters, three of which the reading outline never mentioned.",practical_sessions,positive,neutral,yes
40,"Very helpful and clear with what he wants. Hard grader, but gives detailed feedback.",explanation_clarity,positive,positive,yes
40,"Very helpful and clear with what he wants. Hard grader, but gives detailed feedback.",doubt_solving,positive,positive,yes
40,"Very helpful and clear with what he wants. Hard grader, but gives detailed feedback.",subject_difficulty,positive,positive,yes
41,"ASAM Psych course extremely discussion-based.  Will often present views/material that are foreign to students, tries his best to explain concepts, sometimes fails.  However, gives amazing explanations of his own work (would like to see more explanation of procedure, however).  Tried to blame quietness of class on Asian stereotype--only sore point.",explanation_clarity,negative,negative,yes
41,"ASAM Psych course extremely discussion-based.  Will often present views/material that are foreign to students, tries his best to explain concepts, sometimes fails.  However, gives amazing explanations of his own work (would like to see more explanation of procedure, however).  Tried to blame quietness of class on Asian stereotype--only sore point.",study_material,negative,negative,yes
42,He's still a new prof. Could definitely spice up his teaching style. Cannot tell what is or isn't important based on lectures. I feel like if I went to more office hours I would've had a better idea of what he expected.,explanation_clarity,positive,neutral,yes
42,He's still a new prof. Could definitely spice up his teaching style. Cannot tell what is or isn't important based on lectures. I feel like if I went to more office hours I would've had a better idea of what he expected.,doubt_solving,positive,neutral,yes
42,He's still a new prof. Could definitely spice up his teaching style. Cannot tell what is or isn't important based on lectures. I feel like if I went to more office hours I would've had a better idea of what he expected.,faculty_availability,positive,neutral,yes
43,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",explanation_clarity,positive,positive,yes
43,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",study_material,positive,positive,yes
43,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",practical_sessions,positive,positive,yes
43,"His lectures and his tests are accurate, I have no idea what the last reviewer was talking about. If you are an intelligent  person the tests are not that difficult at all- I got an A without trying to hard. In spite of the fact that his lectures are all powerpoint presentations, this is probably one of the most interesting classes I've ever taken.",subject_difficulty,positive,positive,yes
44,"I would not recommend taking this class or this professor for your math GE. Unless you really, really, really love math (like REALLY love it), just take Calc 1. Prof. O'Neill will not teach you anything, expect you to know everything, and will not give you any feedback or graded work back for the whole semester. Please don't take this class.",doubt_solving,positive,positive,yes
45,"It seemed that she wanted her students learn, but I did not find her to be that good of a professor. She is not the most interesting lecturer, take Wiley or Sadava.",explanation_clarity,positive,positive,yes
46,"The professor is a nice guy, but his class is just way too boring. His lecture is not organized at all, and he just say whatever jumps to his mind. He gives way too much reading and the readings are boring but not as boring as his lecture. Don't take his class if you are really interested in Chinese history, cuz at the end of the semester you won't",explanation_clarity,positive,neutral,yes
46,"The professor is a nice guy, but his class is just way too boring. His lecture is not organized at all, and he just say whatever jumps to his mind. He gives way too much reading and the readings are boring but not as boring as his lecture. Don't take his class if you are really interested in Chinese history, cuz at the end of the semester you won't",study_material,negative,negative,yes
47,"Fabbe is great -- and if you are thinking of Middle Eastern studies, taking a class with her is a MUST. The class is mostly centered around security-studies, grounded in IR theory. Classes require a fair amount of preparation and exams require tons of studying. Rewarding nonetheless.",practical_sessions,positive,positive,yes
48,"Love professor Aksoy! She is by far my favorite math teacher ever, as she really inspires me to love math. She cares about you as a student and as a person, and is always there for you. She teaches everything carefully and in details. If you want extra credits, type your homework in LaTeX. Also, the class is heavy on proofs.",practical_sessions,positive,positive,yes
49,Super nice woman and a decent professor. Doesn't use enough examples in class. Between homework and midterms it's not too difficult.,practical_sessions,positive,positive,yes
49,Super nice woman and a decent professor. Doesn't use enough examples in class. Between homework and midterms it's not too difficult.,subject_difficulty,positive,positive,yes
50,"Professor Obdrzalek is helpful and entertaining.  She has high standards for her students. In order to receive an ""A"" in the class, students should take their papers to her during office hours to get her feedback.  Her expectations are high but they are clear.  Without question, she goes above beyond the requirements of her job.",doubt_solving,positive,positive,yes
50,"Professor Obdrzalek is helpful and entertaining.  She has high standards for her students. In order to receive an ""A"" in the class, students should take their papers to her during office hours to get her feedback.  Her expectations are high but they are clear.  Without question, she goes above beyond the requirements of her job.",faculty_availability,positive,positive,yes
50,"Professor Obdrzalek is helpful and entertaining.  She has high standards for her students. In order to receive an ""A"" in the class, students should take their papers to her during office hours to get her feedback.  Her expectations are high but they are clear.  Without question, she goes above beyond the requirements of her job.",explanation_clarity,positive,positive,yes
51,"Prof Wenzel is a gem. As someone who had a tough time in Gen Chem, she has made Ochem really doable. She will bend over backwards to help her students, and goes the extra mile to make this subject bearable. However, she is a busy lady and can be somewhat inaccessible outside of O.H.. Devastated I didn't get into her class for 2nd semester.",doubt_solving,positive,positive,yes
