professor,department,Quality,Difficulty,Comment,comment_length,cleaned_comment,aspects,aspect_count,aspect_sentiments
James Nichols ,Government department,5.0,2.0,"Prof. Nichols is my favorite professor at CMC. He is so passionate about the subjects that we discuss and is always willing to discuss anything if you have questions. That being said, he is not as easy as most civ professors, but he really cares.",45,prof nichols be my favorite professor at cmc he be so passionate about the subject that we discuss and be always willing to discuss anything if you have question that be say he be not as easy as most civ professor but he really care,"['doubt_solving', 'subject_difficulty']",2,"{'doubt_solving': ('positive', 0.7149), 'subject_difficulty': ('positive', 0.7149)}"
James Nichols ,Government department,5.0,3.0,Nichols is the best civ prof period,7,nichols be the good civ prof period,[],0,{}
James Nichols ,Government department,4.0,3.0,"Nichols may be a goofy bald man, but between the giggles and the chin rubbing, this might have been the most i've learned in any class.  interesting stuff too.",29,nichols may be a goofy bald man but between the giggle and the chin rub this might have be the most I ve learn in any class interesting stuff too,[],0,{}
James Nichols ,Government department,4.5,2.0,Unbelievable professor. Makes class a lot of fun and is an interesting professor. Not too bad looking either-and he likes the Dodgers,22,unbelievable professor make class a lot of fun and be an interesting professor not too bad look eitherand he like the dodger,[],0,{}
James Nichols ,Government department,3.5,3.0,Very goofy guy. During discussions he would stop for 2 SECONDS to see if we had any comments and launch into his own exposition. In retrospect the class was pretty easy and I got exactly what I thought I would get from Civ 10. Just enough.,46,very goofy guy during discussion he would stop for second to see if we have any comment and launch into his own exposition in retrospect the class be pretty easy and I get exactly what I think I would get from civ just enough,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.5994)}"
James Nichols ,Government department,1.0,4.0,"This guy may be smart but he's a loony-tune. Talks endlessly, never listens to a word edgewise, and acts out every nervous compulsive twitch in class while he's rambling.  Drove me right out of the room.",36,this guy may be smart but he s a loonytune talk endlessly never listen to a word edgewise and act out every nervous compulsive twitch in class while he s ramble drive I right out of the room,[],0,{}
James Nichols ,Government department,4.0,3.0,"I took two classes from him.  I did much better in the second one.  He talks on and on, the readings are dull, but the discussion is hot.  Don't be afraid to speak your mind and engage him.  He is one of the smartest profs. we've got.",47,I take two class from he I do much well in the second one he talk on and on the reading be dull but the discussion be hot do not be afraid to speak your mind and engage he he be one of the smart prof we ve get,['study_material'],1,"{'study_material': ('negative', -0.1531)}"
James Nichols ,Government department,4.0,4.0,"gotta do the reading in this class and nichols is a talking head but he knows his stuff.  overall i got an A- and i think i aced the final cause i went back and made sure i read the sparknotes for each book, tho i read the real texts too",51,get to do the reading in this class and nichols be a talk head but he know his stuff overall I get an a and I think I ace the final cause I go back and make sure I read the sparknote for each book tho I read the real text too,['study_material'],1,"{'study_material': ('positive', 0.3182)}"
James Nichols ,Government department,4.5,3.0,Great Guy...somewhat goofy.  Really knows his stuff.  Also definitely the guy to take for Gov 80.,16,great guysomewhat goofy really know his stuff also definitely the guy to take for gov,[],0,{}
James Nichols ,Government department,3.5,2.0,Nice guy.  Understands and works with students.  Seems to like talking more than leading discussions.  Work load very reasonable.,19,nice guy understand and work with student seem to like talk more than lead discussion work load very reasonable,[],0,{}
Cynthia Humes ,Religious Studies department,4.0,4.0,"Prof Humes is really knowledgeable, but her lectures aren't very clear and she often gets sidetracked. However, she's very willing to work with you outside of class. She allows little time for written exams, but she's flexible with deadlines if you just ask, and tries to thoroughly prepare students for such assignments, quizzes or research papers.",56,prof hume be really knowledgeable but her lecture be not very clear and she often get sidetrack however she s very willing to work with you outside of class she allow little time for write exam but she s flexible with deadline if you just ask and try to thoroughly prepare student for such assignment quiz or research paper,"['explanation_clarity', 'study_material', 'practical_sessions']",3,"{'explanation_clarity': ('negative', -0.3401), 'practical_sessions': ('positive', 0.2263), 'study_material': ('positive', 0.2263)}"
Cynthia Humes ,Religious Studies department,4.0,4.0,"Awesome lady who's very knowledgeable about the subject matter, but expects a lot of her students. As someone who took this course to fulfill a GE, I was disappointed by the amount of time it required. If you're genuinely interested in Religious Studies, you'll have a blast! If not, get ready to slog through a LOT of reading & detailed note-taking.",61,awesome lady who s very knowledgeable about the subject matter but expect a lot of her student as someone who take this course to fulfill a ge I be disappoint by the amount of time it require if you re genuinely interested in religious study you ll have a blast if not get ready to slog through a lot of read detailed notetaking,['study_material'],1,"{'study_material': ('positive', 0.1999)}"
Cynthia Humes ,Religious Studies department,1.0,5.0,"Cynthia Humes is a brilliant woman but not the best teacher in the world. I have so much respect for her as a person, but her class was a struggle. ",30,cynthia humes be a brilliant woman but not the good teacher in the world I have so much respect for she as a person but her class be a struggle,[],0,{}
Cynthia Humes ,Religious Studies department,2.5,4.0,Her lectures are extremely confusing and her tests are extremely long and she does not give enough time to write too many essay questions in too little time.,28,her lecture be extremely confusing and her test be extremely long and she do not give enough time to write too many essay question in too little time,"['explanation_clarity', 'doubt_solving', 'practical_sessions']",3,"{'explanation_clarity': ('negative', -0.2944), 'doubt_solving': ('negative', -0.2944), 'practical_sessions': ('negative', -0.2944)}"
Cynthia Humes ,Religious Studies department,3.0,2.0,Took her freshman class.  Very interesting. papers were the only grade and shes a fairly good grader.  I would take her if you have the chance.  work load is reasonable,30,take her freshman class very interesting paper be the only grade and she s a fairly good grader I would take she if you have the chance work load be reasonable,[],0,{}
Cynthia Humes ,Religious Studies department,5.0,5.0,"Hard class, but I loved this class, real interesting. Prof Humes really cares about her students, even cooked great Indian food for us!! Only probem is she doesn't teach that often, and only teaches the same class when she does.",40,hard class but I love this class real interesting prof hume really care about her student even cook great indian food for we only probem be she do not teach that often and only teach the same class when she do,['subject_difficulty'],1,"{'subject_difficulty': ('negative', -0.1027)}"
Cynthia Humes ,Religious Studies department,4.0,5.0,"Really smart, very helpful. Loved the class!!!",7,really smart very helpful love the class,['doubt_solving'],1,"{'doubt_solving': ('positive', 0.8963)}"
Cynthia Humes ,Religious Studies department,3.0,5.0,"Teaches an interesting course. Very knowledgeable, yet somewhat condescending. Erratic instructions and expectations. At times very friendly and others moody and snippy. If course material was not interesting her rating would be in the dumps.",35,teach an interesting course very knowledgeable yet somewhat condescend erratic instruction and expectation at time very friendly and other moody and snippy if course material be not interesting her rating would be in the dump,['study_material'],1,"{'study_material': ('negative', -0.4339)}"
Cynthia Humes ,Religious Studies department,4.5,1.0,"Most students really like her.  She acts like she's ""one of the gang"".",13,most student really like she she act like she s one of the gang,[],0,{}
Colin Wright ,Economics department,3.0,4.0,"If you fall behind it's almost impossible to catch up. He's a nice guy, but he's a bit difficult to understand during lectures. Expect to do a lot of work on your own out of the textbook to get the concepts down and use his lectures to supplement AFTER you've already looked at the lesson. Not a horrid grader, but the policy was unclear & stressful.",66,if you fall behind its almost impossible to catch up he s a nice guy but he s a bit difficult to understand during lecture expect to do a lot of work on your own out of the textbook to get the concept down and use his lecture to supplement after you ve already look at the lesson not a horrid grader but the policy be unclear stressful,"['explanation_clarity', 'teaching_pace', 'study_material', 'subject_difficulty']",4,"{'teaching_pace': ('positive', 0.4215), 'explanation_clarity': ('negative', -0.6486), 'study_material': ('positive', 0.09), 'subject_difficulty': ('negative', -0.6486)}"
Colin Wright ,Economics department,5.0,1.0,Wright is right  :),4,wright be right,[],0,{}
Colin Wright ,Economics department,2.5,3.0,"Wright has a ""cult following"" status among CMCers. They have good reason for this -  he is a hidden gem of CMC. Despite his reputation, he's a great talker. Even though his teaching style and tests might make the class difficult, Wright is helpful in office hours & is willing to give out good grades despite a hard, but hilarious, class.",61,wright have a cult follow status among cmcer they have good reason for this he be a hidden gem of cmc despite his reputation he s a great talker even though his teaching style and test might make the class difficult wright be helpful in office hour be willing to give out good grade despite a hard but hilarious class,"['doubt_solving', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",4,"{'doubt_solving': ('positive', 0.8884), 'practical_sessions': ('positive', 0.8884), 'faculty_availability': ('positive', 0.8884), 'subject_difficulty': ('positive', 0.8884)}"
Colin Wright ,Economics department,5.0,4.0,"I heard people suggest me not to take his class but it turns out to be the BEST class I had in CMC. It's totally Ok if you don't understand stuff in class, just go to the office hour. He can't be more helpful and caring. He gives me wise life advices and makes me think deeper in econ. If you are really in to econ, take him!",68,I hear people suggest I not to take his class but it turn out to be the good class I have in cmc its totally ok if you do not understand stuff in class just go to the office hour he can not be more helpful and caring he give I wise life advice and make I think deeply in econ if you be really in to econ take he,"['doubt_solving', 'faculty_availability']",2,"{'doubt_solving': ('positive', 0.8558), 'faculty_availability': ('positive', 0.8558)}"
Colin Wright ,Economics department,5.0,2.0,"Wright is a good bad even though he has a bad reputation. Class could be hard if you do not pay attention to his lectures. Despite that, overall it is a good class!",33,wright be a good bad even though he have a bad reputation class could be hard if you do not pay attention to his lecture despite that overall it be a good class,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('negative', -0.3191), 'subject_difficulty': ('negative', -0.3191)}"
Colin Wright ,Economics department,4.0,2.0,"Everyone gives Professor Wright a bad rap on campus. When I signed up for his course so many people warned me against it; however, I enjoyed his course. If you pay attention in class and take his notes, you have all the information that he will test you on. Plus, he is more than willing to help anyone out during office hours.",62,everyone give professor wright a bad rap on campus when I sign up for his course so many people warn I against it however I enjoy his course if you pay attention in class and take his note you have all the information that he will test you on plus he be more than willing to help anyone out during office hour,"['doubt_solving', 'study_material', 'practical_sessions', 'faculty_availability']",4,"{'doubt_solving': ('positive', 0.6705), 'study_material': ('positive', 0.6705), 'practical_sessions': ('positive', 0.6705), 'faculty_availability': ('positive', 0.6705)}"
Colin Wright ,Economics department,5.0,3.0,Niceset professor ever! Really helpful!,5,niceset professor ever really helpful,['doubt_solving'],1,"{'doubt_solving': ('positive', 0.4754)}"
Colin Wright ,Economics department,5.0,3.0,"Many says that he is hard and bad. I agree that he is not easy, but he is a really good professor. He knows what he is talking about. When you actually reflect on what he taught, you can apply many of them to real life. Not a lot of professors teach something flexible to use.",56,many say that he be hard and bad I agree that he be not easy but he be a really good professor he know what he be talk about when you actually reflect on what he teach you can apply many of they to real life not a lot of professor teach something flexible to use,['subject_difficulty'],1,"{'subject_difficulty': ('negative', -0.5867)}"
Colin Wright ,Economics department,3.5,3.0,"He is pretty good, very helpful! He is a very good person! ",12,he be pretty good very helpful he be a very good person,['doubt_solving'],1,"{'doubt_solving': ('positive', 0.9079)}"
Colin Wright ,Economics department,1.0,4.0,You should not take this class! This is the worst econ professor I have ever had!,16,you should not take this class this be the bad econ professor I have ever have,[],0,{}
Colin Wright ,Economics department,3.0,3.0,"Despite what people say about him, Professor Wright is actually a pretty good professor.  If you pay attention during lectures and actually try and comprehend what he is saying, it's not that bad.  Yes he is more math-based than others, but he is very helpful during office hours.",48,despite what people say about he professor wright be actually a pretty good professor if you pay attention during lecture and actually try and comprehend what he be say its not that bad yes he be more mathbased than other but he be very helpful during office hour,"['explanation_clarity', 'doubt_solving', 'faculty_availability']",3,"{'explanation_clarity': ('positive', 0.7424), 'doubt_solving': ('positive', 0.4754), 'faculty_availability': ('positive', 0.4754)}"
Colin Wright ,Economics department,4.0,2.0,Absolutely amazing class. Love the discussions and Professor Wright has his unbiased views which make a lot of the discussions interesting. TAKE THIS CLASS.  He has been given a bad reputation in the Econ Dept. but this class is awesome and the course material is pretty interesting. TAKE IT!,49,absolutely amazing class love the discussion and professor wright have his unbiased view which make a lot of the discussion interesting take this class he have be give a bad reputation in the econ dept but this class be awesome and the course material be pretty interesting take it,['study_material'],1,"{'study_material': ('positive', 0.875)}"
Colin Wright ,Economics department,5.0,3.0,"He is great- doesn't assign too much work, but demands your full attention in class, which if you give him, will help a lot with tests. Plus his deviations and anecdotes during class are good times to catch up on the content and polish your notes. Very logical, no fluff, no spoon feeding, and a great professor!",57,he be great do not assign too much work but demand your full attention in class which if you give he will help a lot with test plus his deviation and anecdote during class be good time to catch up on the content and polish your note very logical no fluff no spoon feeding and a great professor,"['doubt_solving', 'study_material', 'practical_sessions']",3,"{'doubt_solving': ('positive', 0.8229), 'study_material': ('positive', 0.8229), 'practical_sessions': ('positive', 0.8229)}"
Colin Wright ,Economics department,4.0,3.0,"Wright get's a really bad rep in the econ department. Personality wise, he is actually quite funny. The work load is quite easy, we only had two homeworks. All you have to do is study his modules, yes you have to know how to take the first derivative. But I found the use of math makes solving/understanding this class easier.",60,wright get a really bad rep in the econ department personality wise he be actually quite funny the work load be quite easy we only have two homework all you have to do be study his module yes you have to know how to take the first derivative but I find the use of math make solvingunderstande this class easy,"['practical_sessions', 'subject_difficulty']",2,"{'practical_sessions': ('positive', 0.8122), 'subject_difficulty': ('positive', 0.8122)}"
Colin Wright ,Economics department,1.0,5.0,I thought Professor Wright's Econ 50 class was terrible for several reasons: 1) He is too math based. There were more equations than concepts. 2) Exams were hard to study for and questions were random 3) He taught the class assuming we had already taken Econ before in high school even though it's an intro course. DON'T TAKE WRIGHT!!,59,I think professor wright econ class be terrible for several reason he be too math base there be more equation than concept exam be hard to study for and question be random he teach the class assume we have already take econ before in high school even though its an intro course do not take wright,"['doubt_solving', 'practical_sessions', 'subject_difficulty']",3,"{'doubt_solving': ('negative', -0.5423), 'practical_sessions': ('negative', -0.5423), 'subject_difficulty': ('negative', -0.5423)}"
Colin Wright ,Economics department,2.5,4.0,if you're not good at mnath dont take this class,10,if you re not good at mnath do not take this class,[],0,{}
Colin Wright ,Economics department,3.0,3.0,"Prof. Wright is a great professor and I learned a lot about micro from him. Being a Mudder, no one else in my class knew any real math so they thought it was hard, but the numerical approach to problems was realistic and easier for me to understand.",48,prof wright be a great professor and I learn a lot about micro from he be a mudder no one else in my class know any real math so they think it be hard but the numerical approach to problem be realistic and easy for I to understand,['subject_difficulty'],1,"{'subject_difficulty': ('positive', 0.3612)}"
Colin Wright ,Economics department,1.5,5.0,Worst professor I have ever had. All he did was talk about how we didn't know enough math. He doesn't use the textbook hardly at all and his tests come out of nowhere. Plus he's hostile at his office hours. I regret taking the class 100%. Take Bjerk instead...,49,bad professor I have ever have all he do be talk about how we do not know enough math he do not use the textbook hardly at all and his test come out of nowhere plus he s hostile at his office hour I regret take the class take bjerk instead,"['doubt_solving', 'study_material', 'practical_sessions', 'faculty_availability', 'subject_difficulty']",5,"{'doubt_solving': ('negative', -0.836), 'study_material': ('negative', -0.836), 'practical_sessions': ('negative', -0.836), 'faculty_availability': ('negative', -0.836), 'subject_difficulty': ('negative', -0.836)}"
Colin Wright ,Economics department,4.5,2.0,"He seems really hard but once you get used to his style of teaching, you learn sooo much. At times he is unintentionally intimidating but hes a nice guy really. He really knows his stuff and teaches Econ in a way it makes us think unlike other Econ teachers who use no math and just expect you to puke out defntions on the test. Best forthe long run",68,he seem really hard but once you get use to his style of teaching you learn sooo much at time he be unintentionally intimidate but he s a nice guy really he really know his stuff and teach econ in a way it make we think unlike other econ teacher who use no math and just expect you to puke out defntion on the test good forthe long run,"['practical_sessions', 'subject_difficulty']",2,"{'subject_difficulty': ('negative', -0.1761), 'practical_sessions': ('neutral', 0.0258)}"
Colin Wright ,Economics department,1.0,5.0,"If you take this prof you are making a huge mistake. Makes easy problems hard and hard problems impossible thru his own incompetence as a teacher. You will be dumbfounded trying to teach yourself because most of the material he makes up and you have to make sense of his scribbled notes, and he makes zero sense in class. Save yourself.",61,if you take this prof you be make a huge mistake make easy problem hard and hard problem impossible thru his own incompetence as a teacher you will be dumbfound try to teach yourself because most of the material he make up and you have to make sense of his scribble note and he make zero sense in class save yourself,"['study_material', 'subject_difficulty']",2,"{'study_material': ('negative', -0.5574), 'subject_difficulty': ('negative', -0.5574)}"
Colin Wright ,Economics department,1.5,5.0,"Wright is not a good teacher!  I really like econ, but he is not good at teaching it.  There is no homework that you have to turn in, but the tests are very hard.  I liked the stories he told in class, and he's kinda funny, but I would've preferred if he taught better.  I took tons of notes, I thought i understood all of it, but the tests raped me",71,wright be not a good teacher I really like econ but he be not good at teach it there be no homework that you have to turn in but the test be very hard I like the story he tell in class and he s kinda funny but I would ve prefer if he teach well I take ton of note I think I understand all of it but the test rap I,"['study_material', 'practical_sessions', 'subject_difficulty']",3,"{'practical_sessions': ('positive', 0.5687), 'subject_difficulty': ('positive', 0.5687), 'study_material': ('positive', 0.2732)}"
Colin Wright ,Economics department,4.0,4.0,"Wright's micro, though harder than other micro classes around, is more fun. There's no homework, so three tests decide your grade. Tests are repititive, so it's not tough to crack them. If you want to learn, then you should definitely take this class.",43,wright micro though hard than other micro class around be more fun there s no homework so three test decide your grade test be repititive so its not tough to crack they if you want to learn then you should definitely take this class,"['practical_sessions', 'subject_difficulty']",2,"{'practical_sessions': ('positive', 0.6835), 'subject_difficulty': ('positive', 0.6835)}"
Colin Wright ,Economics department,2.0,4.0,"Perhaps not as bad as many people here say. There are only 3 graded assignments the whole semester. If you are unlucky enough to get him, go to class and study. Some people say if you get Wright, try again next semester, and that might be right if you aren't an econ person. Otherwise, you'll have a workless semester and a mediocre grade.",63,perhaps not as bad as many people here say there be only grade assignment the whole semester if you be unlucky enough to get he go to class and study some people say if you get wright try again next semester and that might be right if you be not an econ person otherwise you ll have a workless semester and a mediocre grade,"['study_material', 'practical_sessions']",2,"{'study_material': ('positive', 0.431), 'practical_sessions': ('positive', 0.431)}"
Colin Wright ,Economics department,2.5,4.0,"Uses math exclusively to teach concepts.  I didn't put a whole lot of work in to the class, but I really studied for the last test and did well.  If you're willing to do outside work to study and are good with math, you'll do fine and learn some.  Funny, but digresses into material of 101.",56,use math exclusively to teach concept I do not put a whole lot of work in to the class but I really study for the last test and do well if you re willing to do outside work to study and be good with math you ll do fine and learn some funny but digresse into material of,"['study_material', 'practical_sessions']",2,"{'practical_sessions': ('positive', 0.8271), 'study_material': ('neutral', 0.0)}"
Colin Wright ,Economics department,3.0,4.0,"Everyday: ""This is kind of Econ101 stuff that you all won't understand, but I'm going to say it anyway...""  and he was right...we didn't understand.  I learned a lot ONLY because I went out and learned it ON MY OWN...",40,everyday this be kind of econ stuff that you all will not understand but I m go to say it anyway and he be rightwe do not understand I learn a lot only because I go out and learn it on my own,[],0,{}
Colin Wright ,Economics department,4.0,4.0,"very challenging, but dont take all of these reviews too seriously.  if you really want to learn about econ and take an interesting class, i strongly recommend it, if you are too lazy to study for 3 tests in one semester, then come on, you dont deserve to be at claremont",51,very challenging but do not take all of these review too seriously if you really want to learn about econ and take an interesting class I strongly recommend it if you be too lazy to study for test in one semester then come on you do not deserve to be at claremont,"['practical_sessions', 'subject_difficulty']",2,"{'subject_difficulty': ('positive', 0.2247), 'practical_sessions': ('positive', 0.5709)}"
Colin Wright ,Economics department,1.0,5.0,"Arrogant, Unclear and Pompus.  Makes material harder than it is, and is terrible at providing examples.  Avoid him.",18,arrogant unclear and pompus make material hard than it be and be terrible at provide example avoid he,"['explanation_clarity', 'study_material', 'practical_sessions', 'subject_difficulty']",4,"{'explanation_clarity': ('negative', -0.872), 'study_material': ('negative', -0.872), 'practical_sessions': ('negative', -0.872), 'subject_difficulty': ('negative', -0.872)}"
Colin Wright ,Economics department,1.0,5.0,Without a doubt the worst prof at CMC back in 1996 and it sounds like he is still going strong...,20,without a doubt the bad prof at cmc back in and it sound like he be still go strong,['doubt_solving'],1,"{'doubt_solving': ('positive', 0.5283)}"
Colin Wright ,Economics department,1.5,5.0,"he was funny in class, but unclear and the test material came out of nowhere...he is also too focused on math.  nice guy though",24,he be funny in class but unclear and the test material come out of nowherehe be also too focused on math nice guy though,"['explanation_clarity', 'study_material', 'practical_sessions']",3,"{'explanation_clarity': ('positive', 0.5267), 'study_material': ('positive', 0.5267), 'practical_sessions': ('positive', 0.5267)}"
Colin Wright ,Economics department,1.0,5.0,Wright is Wrong! Avoid like the plague.,7,wright be wrong avoid like the plague,[],0,{}
Colin Wright ,Economics department,1.0,5.0,"Avoid at ALL COSTS. If he is the only one teaching the class you want, wait until later to take it. His class will ruin your GPA and leave you clueless much of the time. He's a nice and funny guy, but he is a sucky and unfair teacher.",49,avoid at all cost if he be the only one teach the class you want wait until later to take it his class will ruin your gpa and leave you clueless much of the time he s a nice and funny guy but he be a sucky and unfair teacher,[],0,{}
Colin Wright ,Economics department,1.0,4.0,"What a ridiculous professor. He is very unclear and never does any problems in class to prepare students for the midterms. Also, doesn't curve tests when the highest grade is an 81 and says his normal grade for an Econ 50 class is a B-. Avoid if possible",48,what a ridiculous professor he be very unclear and never do any problem in class to prepare student for the midterm also do not curve test when the high grade be an and say his normal grade for an econ class be a b avoid if possible,"['explanation_clarity', 'practical_sessions']",2,"{'explanation_clarity': ('negative', -0.5768), 'practical_sessions': ('negative', -0.5768)}"
Colin Wright ,Economics department,2.5,3.0,"He's not clear enough and the lectures are somewhat disorganized. Having said that, he does bring up some neat problems in class and you'll learn how to graph dozens of lines in one graph. But he's pretty damn boring to listen to.",42,he s not clear enough and the lecture be somewhat disorganized having say that he do bring up some neat problem in class and you ll learn how to graph dozen of line in one graph but he s pretty damn boring to listen to,['explanation_clarity'],1,"{'explanation_clarity': ('negative', -0.4197)}"
Colin Wright ,Economics department,2.0,4.0,"Funny guy...I don't know about how nice he is, though.  Not very willing to help or explain, or teach for that matter. His class frustrated me more than any class at CMC so far.",34,funny guyi do not know about how nice he be though not very willing to help or explain or teach for that matter his class frustrate I more than any class at cmc so far,"['explanation_clarity', 'doubt_solving']",2,"{'explanation_clarity': ('positive', 0.6969), 'doubt_solving': ('positive', 0.6969)}"
Colin Wright ,Economics department,2.0,5.0,Avoid if possible,3,avoid if possible,[],0,{}
Colin Wright ,Economics department,4.0,3.0,"Funniest prof I've taken. Also a genuine nice guy under his econ exterior. Only decently prepares his lectures, tends to ramble, but makes them good through poignant anecdotes. Hard subject, easy grader.",32,funniest prof I ve take also a genuine nice guy under his econ exterior only decently prepare his lecture tend to ramble but make they good through poignant anecdote hard subject easy grader,"['explanation_clarity', 'subject_difficulty']",2,"{'explanation_clarity': ('positive', 0.7506), 'subject_difficulty': ('positive', 0.6597)}"
Colin Wright ,Economics department,4.0,4.0,"Good prof but difficult subject no matter who you take it with... He can be slightly intimidating, but to do do well, you just need to work hard.",28,good prof but difficult subject no matter who you take it with he can be slightly intimidating but to do do well you just need to work hard,['subject_difficulty'],1,"{'subject_difficulty': ('negative', -0.6347)}"
Colin Wright ,Economics department,2.0,4.0,"Blub-blub-blub, students ten years ago cared about econ.",8,blubblubblub student ten year ago care about econ,[],0,{}
Colin Wright ,Economics department,2.0,4.0,Don't you care about econ anymore? blub blub blub...  -Colin Wright,11,do not you care about econ anymore blub blub blub colin wright,[],0,{}
Colin Wright ,Economics department,1.0,5.0,"cannot teach, boring",3,can not teach boring,[],0,{}
Ann Meyer ,Literature department,4.5,4.0,"Prof. Meyer is intensely brilliant and provokes thoughtful discussion, making tricky concepts fun to think about. Her class is deeply challenging, combining serious readings with weekly writings and asking students to critically analyze complex texts and images. You will succeed if you strive, and she'll make you want to strive. I recommend!",52,prof meyer be intensely brilliant and provoke thoughtful discussion make tricky concept fun to think about her class be deeply challenge combine serious reading with weekly writing and ask student to critically analyze complex text and image you will succeed if you strive and shell make you want to strive I recommend,['study_material'],1,"{'study_material': ('positive', 0.9092)}"
